use_case ,type ,method ,other_minutes_sold,scenario ,missions,minutes ,cost_usd_S1,cost_usd_S2,cost_usd_S3,cost_usd_S4,cost_usd_S5,cost_usd_S6
Terrestrial & Aerial,FDDN,DTE,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,DTE,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,FDDN,SR,No,Baseline,9,801198.0,51997750.2,58166974.800000004,58166974.800000004,58166974.800000004,55523021.400000006,59929610.400000006
Human Space Flight,FDDN,SR,Yes,Baseline,9,801198.0,20270309.400000002,26439534.000000004,26439534.000000004,34371394.2,32608758.6,37015347.6
Near Earth Robotic - LEO Science,FDDN,SR,No,Baseline,18,1365570.0,88625493.0,99140382.00000001,99140382.00000001,99140382.00000001,94634001.00000001,102144636.00000001
Near Earth Robotic - LEO Science,FDDN,SR,Yes,Baseline,18,1365570.0,34548921.0,45063810.0,45063810.0,58582953.00000001,55578699.00000001,63089334.00000001
Near Earth Robotic - GEO and Near Earth,FDDN,SR,No,Baseline,2,109.0,7074.1,7913.400000000001,7913.400000000001,7913.400000000001,7553.700000000001,8153.200000000001
Near Earth Robotic - GEO and Near Earth,FDDN,SR,Yes,Baseline,2,109.0,2757.7000000000003,3597.0000000000005,3597.0000000000005,4676.1,4436.3,5035.8
Deep Space Robotic,FDDN,SR,No,Baseline,1,286.0,18561.4,20763.600000000002,20763.600000000002,20763.600000000002,19819.800000000003,21392.800000000003
Deep Space Robotic,FDDN,SR,Yes,Baseline,1,286.0,7235.8,9438.0,9438.0,12269.400000000001,11640.2,13213.2
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,No,Baseline,1,2047.0,132850.30000000002,148612.2,148612.2,148612.2,141857.1,153115.6
Near Earth Robotic - Low Latency & Complex Needs,FDDN,SR,Yes,Baseline,1,2047.0,51789.100000000006,67551.0,67551.0,87816.3,83312.90000000001,94571.40000000001
Mission Operations,FDDN,SR,No,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,FDDN,SR,Yes,Baseline,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,FDDN,SR,No,Baseline,9,78048.0,5065315.2,5666284.800000001,5666284.800000001,5666284.800000001,5408726.4,5837990.4
Terrestrial & Aerial,FDDN,SR,Yes,Baseline,9,78048.0,1974614.4000000001,2575584.0,2575584.0,3348259.2,3176553.6,3605817.6
Human Space Flight,ADD,DTE,No,High,7,405510.0,45632040.300000004,84037892.4,84037892.4,84037892.4,84037892.4,84037892.4
Human Space Flight,ADD,DTE,Yes,High,7,405510.0,10304009.100000001,10304009.100000001,10437827.4,10571645.700000001,10705464.0,10705464.0
Near Earth Robotic - LEO Science,ADD,DTE,No,High,58,562455.0,63293061.150000006,116563174.2,116563174.2,116563174.2,116563174.2,116563174.2
Near Earth Robotic - LEO Science,ADD,DTE,Yes,High,58,562455.0,14291981.55,14291981.55,14477591.700000001,14663201.850000001,14848812.000000002,14848812.000000002
Near Earth Robotic - GEO and Near Earth,ADD,DTE,No,High,19,293217.5,32995765.275000002,60766394.7,60766394.7,60766394.7,60766394.7,60766394.7
Near Earth Robotic - GEO and Near Earth,ADD,DTE,Yes,High,19,293217.5,7450656.675000001,7450656.675000001,7547418.45,7644180.225000001,7740942.000000001,7740942.000000001
Deep Space Robotic,ADD,DTE,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep Space Robotic,ADD,DTE,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,No,High,2,22562.0,2538901.8600000003,4675748.88,4675748.88,4675748.88,4675748.88,4675748.88
Near Earth Robotic - Low Latency & Complex Needs,ADD,DTE,Yes,High,2,22562.0,573300.42,573300.42,580745.88,588191.3400000001,595636.8,595636.8
Mission Operations,ADD,DTE,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mission Operations,ADD,DTE,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,No,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terrestrial & Aerial,ADD,DTE,Yes,High,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Space Flight,ADD,SR,No,High,18,1602396.0,103995500.4,116333949.60000001,116333949.60000001,116333949.60000001,111046042.80000001,119859220.80000001
Human Space Flight,ADD,SR,Yes,High,18,1602396.0,40540618.800000004,52879068.00000001,52879068.00000001,68742788.4,65217517.2,74030695.2
Near Earth Robotic - LEO Science,ADD,SR,No,High,38,2882870.0,187098263.00000003,209296362.00000003,209296362.00000003,209296362.00000003,199782891.00000003,215638676.00000003
Near Earth Robotic - LEO Science,ADD,SR,Yes,High,38,2882870.0,72936611.0,95134710.00000001,95134710.00000001,123675123.00000001,117332809.00000001,133188594.00000001
Near Earth Robotic - GEO and Near Earth,ADD,SR,No,High,5,272.5,17685.25,19783.5,19783.5,19783.5,18884.25,20383.0
Near Earth Robotic - GEO and Near Earth,ADD,SR,Yes,High,5,272.5,6894.250000000001,8992.5,8992.5,11690.250000000002,11090.75,12589.500000000002
Deep Space Robotic,ADD,SR,No,High,1,286.0,18561.4,20763.600000000002,20763.600000000002,20763.600000000002,19819.800000000003,21392.800000000003
Deep Space Robotic,ADD,SR,Yes,High,1,286.0,7235.8,9438.0,9438.0,12269.400000000001,11640.2,13213.2
Near Earth Robotic - Low Latency & Complex Needs,ADD,SR,No,High,3,6141.0,398550.9,445836.60000000003,445836.60000000003,445836.60000000003,425571.30000000005,459346.80000000005
